1,小宇东北烧烤(上寮店),暂无评分
2,蔡蔡小吃店·小龙虾(上南店),暂无评分
3,渔岸码头·烤鱼·小龙虾·烧烤(上南店),4
4,潮汕炒饭·莲藕枸杞汤,4.9
5,西安面馆·油泼面·炒面·臊子面,4.6
6,烤之味快餐,4.1
7,辉记粿条汤面(上南店),暂无评分
8,回味螺蛳粉·特色煲仔饭(上南分店),4
9,茶萃吧(沙井上南粤丰店),5
10,湘香缘木桶饭(上南店),4
11,贡茶(上南大汇城店),5
12,煲园煲仔饭(上南店),3.8
13,小野の茶(联城店),5
14,正宗老牌子·柳州螺蛳粉(上南店),4.4
15,正新鸡排·炸鸡烧烤(汉堡炸鸡沙井美联店),暂无评分
16,苏记隆江猪脚饭(上南店),5
17,驿茶(大汇城店),5
18,东北手工水饺,5
19,凤校长甲鱼鸡煲(上南店),暂无评分
20,阿杏饭团(上寮店),暂无评分
21,小红帽炸串店(上南店),2.2
22,曾记烧腊餐厅·猪脚饭,4.5
23,无名东北菜(沙井上南店),5
24,一品湘木桶饭(联城上南店),4.3
25,鼎鼎东北菜(沙井店),4.6
26,湘赣农家菜木桶饭(上南白龙店),暂无评分
27,五谷渔粉(上南白龙街店),1.4
28,绝味鸭脖（沙井上南大街店）,3.8
29,沙县小吃(上南白龙街店),4.2
30,韩班长.炒牛肉.扣肉饭,4.2
31,茶初遇(上南店),暂无评分
32,福可儿·手造鲜果茶(沙井上南店),4.6
33,德兴港式茶餐厅,4.4
34,尊宝比萨(上南大街店),4.8
35,湖南常德津市牛肉粉(上南汇聚店),4.2
36,波客派炸鸡汉堡(沙井上南大街店),4.2
37,开心花甲粉·螺蛳粉·卤粉·小吃,4.5
38,戴哥炸鸡,5
39,致青春东北烧烤鹤岗小串(上南店),5
40,正宗长沙臭豆腐(上南店),5
41,陈记湛江牛腩鸭仔饭(上南店),5
42,杨小卤·卤味快餐·柠檬鸡爪(黄埔市场店),5
43,民间瓦罐汤饭·快餐(上南店),5
44,耀家小馆·牛肉粉·榨粉·肠粉,3.7
45,真知味·炭炉烤牛杂王(上南店),5
46,周记羊肉烩面店 现炒快餐(黄埔店),4.8
47,小茶驾到·开运茶研所(沙井黄埔店),5
48,秦琴炸串,3.8
