province,city,district,name,score,comment_number,month_sales,avg_price,category,delivery_time,delivery_tip,delivery_type,in_time_delivery_percent,min_price,shipping_fee,lat,lng,hours,buz_code
安徽省,六安市,裕安区,夕夏花植馆（表白鲜花·生日鲜花·开业花篮）,0.0,0,月售1,,浪漫鲜花,125分钟,由商家提供配送服务,0,0,起送 ¥0,免配送费,31.75519,116.49643,07:00-23:59,1
安徽省,合肥市,肥东县,缘梦鲜花婚庆（玫瑰鲜花，生日鲜花，花篮）,5.0,192,月售57,,浪漫鲜花,30分钟,由商家提供配送服务,0,83,起送 ¥0,免配送费,31.884147,117.471006,06:00-21:00,1
安徽省,合肥市,长丰县,歆语花艺工作室（生日鲜花、开业花篮）,4.8,180,月售79,,浪漫鲜花,30分钟,由商家提供配送服务,0,83,起送 ¥0,免配送费,31.956081,117.26544,00:00-23:59,1
安徽省,宿州市,泗县,酸菜鱼专业外卖（泗县店）,4.8,111,月售100+,,美食 酸菜鱼/水煮鱼,36分钟,,1,77,起送 ¥0,免配送费,33.474938,117.898829,09:00-21:40,0
安徽省,合肥市,肥西县,豪大大香鸡排,3.9,218,月售300+,人均 ¥16,美食 韩国料理,49分钟,由商家提供配送服务,0,29,起送 ¥0,配送 ¥5,31.734658,117.023658,"00:01-00:31,08:01-23:59",0
安徽省,阜阳市,界首市,苗集苗强牛肉汤,4.2,43,月售57,人均 ¥15,美食 羊汤/牛肉汤,51分钟,,1,80,起送 ¥0,配送 ¥4.4,33.205474,115.434699,06:00-19:00,0
安徽省,宿州市,萧县,致青·蛋糕·奶茶·汉堡,0.0,1,月售7,,甜蜜蛋糕,44分钟,由商家提供配送服务,0,0,起送 ¥0,免配送费,34.220388,116.704084,10:00-23:59,0
安徽省,合肥市,瑶海区,庆妍鲜花鲜花店（苹果·红玫瑰鲜花·礼物）,0.0,5,月售1,,浪漫鲜花,40分钟,由 美团跑腿 提供送餐服务,0,0,起送 ¥0,免配送费,31.883544,117.352267,00:00-23:59,1
安徽省,马鞍山市,当涂县,沁馨园花卉（重阳路店）,4.3,65,月售7,,浪漫鲜花,120分钟,由 美团跑腿 提供配送服务,0,0,起送 ¥0,免配送费,31.677005,118.52264,00:00-23:59,1
北京市,北京市,丰台区,北京智慧成绿植鲜花店（玫瑰花、生日鲜花、开业花篮）,5.0,84,月售36,,浪漫鲜花,30分钟,由 美团跑腿 提供送餐服务,0,0,起送 ¥0,免配送费,39.818204,116.340837,00:00-23:59,1
北京市,北京市,朝阳区,农夫山泉桶装水站—北京直配店,0.0,4,月售200+,,超市便利,1.5小时,,0,,起送 ¥0,免配送费,39.970782,116.488959,06:00-19:00,1
北京市,北京市,朝阳区,缘来赫赫小厨麻辣香锅（亚运村）,4.9,5116,月售7482,人均 ¥20,美食 麻辣香锅,30分钟,由美团快送提供配送服务,0,0,起送 ¥0,免配送费,39.98628,116.42493,09:00-21:00,0
福建省,漳州市,漳浦县,左心房花艺（鲜花花束开业花篮）,0.0,7,月售17,,浪漫鲜花,55分钟,由商家提供配送服务,0,0,起送 ¥0,免配送费,24.11145,117.61034,08:00-22:00,1
福建省,莆田市,城厢区,狗名堂宠物之家,0.0,16,月售36,,超市便利,56分钟,,0,,起送 ¥0,配送 ¥2,25.439107,119.003969,09:30-23:59,1
福建省,泉州市,晋江市,十度花店（生日花·表白花·玫瑰鲜花）,0.0,19,月售5,,浪漫鲜花,50分钟,由 美团跑腿 提供送餐服务,0,0,起送 ¥0,免配送费,24.862689,118.55419,07:00-22:00,1
甘肃省,庆阳市,西峰区,花视界•花艺,0.0,0,月售1,,浪漫鲜花,2小时,,0,,起送 ¥0,免配送费,35.729649,107.631491,08:00-23:00,1
甘肃省,平凉市,华亭市,8号鲜花店（214鲜花束、年宵花、玫瑰花）,4.0,26,月售29,,浪漫鲜花,45分钟,由商家提供配送服务,0,0,起送 ¥0,免配送费,35.211363,106.635146,06:00-21:00,1
广东省,广州市,番禺区,J.R巴黎焙甜蛋糕（广州形象店）,5.0,47,月售19,人均 ¥73,甜蜜蛋糕,136分钟,由 美团跑腿 提供送餐服务,0,0,起送 ¥0,免配送费,22.917622,113.372692,06:00-23:59,0
广东省,广州市,花都区,烤肉饭紫菜饭团（二师店）,4.7,1391,月售4886,人均 ¥13,美食 烤肉拌饭,49分钟,由 美团跑腿 提供送餐服务,0,10,起送 ¥0,免配送费,23.402337,113.184693,09:00-21:00,0
广东省,广州市,黄埔区,米兰西饼·网红蛋糕（大沙东店）,4.8,95,月售22,人均 ¥75,甜蜜蛋糕,35分钟,由 美团跑腿 提供送餐服务,0,0,起送 ¥0,免配送费,23.107768,113.456626,08:00-22:30,0
广东省,广州市,天河区,柯记新鲜猪杂粥（岗顶店）,4.7,430,月售1928,人均 ¥30,美食 粥店,44分钟,由 美团跑腿 提供送餐服务,0,58,起送 ¥0,配送 ¥1,23.130223,113.340625,10:00-18:00,0
广东省,珠海市,香洲区,佳心园鲜花店（向日葵·生日鲜花·玫瑰花）,0.0,63,月售10,,浪漫鲜花,30分钟,由 美团跑腿 提供送餐服务,0,0,起送 ¥0,免配送费,22.241621,113.524691,"00:00-01:00,06:00-23:59",1
广东省,汕尾市,海丰县,广信大药房旗舰店（快递发全国）,4.5,1822,月售9999+,,送药上门,36分钟,,0,0,起送 ¥0,配送 ¥3,22.970711,115.355341,00:00-23:59,1
广东省,东莞市,南城街道,蛙行江湖肥肠牛蛙煲土鸡牛蛙煲（南城店）,4.7,250,月售500+,人均 ¥33,美食 川菜,30分钟,由 美团跑腿 提供送餐服务,0,0,起送 ¥0,免配送费,22.989168,113.722884,10:00-23:59,0
广东省,广州市,天河区,心情不错鲜花店（玫瑰花鲜花·红玫瑰花束·满天星巧克力鲜花）,4.7,256,月售2178,,浪漫鲜花,43分钟,由 美团跑腿 提供送餐服务,0,20,起送 ¥0,免配送费,23.128467,113.328599,00:00-23:59,1
广东省,珠海市,金湾区,八王爷脆皮烤鸡,4.2,286,月售1000+,人均 ¥20,美食 烤物类小吃,49分钟,由商家提供配送服务,0,6,起送 ¥0,配送 ¥1,22.041107,113.396372,"09:30-14:00,16:00-20:00",0
